modelo,id,categoria,estilo,tem_resposta,posicao,nota_top1,top1,pergunta
bm25,q01,carta,formal,True,1.0,13.7077,faq/cards/flash#target-in-base,O Flash pode ter como alvo uma unidade que já está na base?
bm25,q02,carta,termo_em_portugues,True,1.0,14.4923,faq/cards/lacerate#targeting-restriction,Posso usar o Lacerate numa unidade com mais de 3 de força?
bm25,q03,carta,formal,True,4.0,14.4836,faq/cards/gangplank-naval#switcheroo-might-reduction,O Switcheroo pode deixar uma unidade com might negativa?
bm25,q04,carta,informal,True,2.0,12.6945,faq/cards/sacrifice#deathknell-before-spell,"Se o oponente counterar meu Sacrifice, a unidade que eu matei pra pagar volta?"
bm25,q05,carta,informal,True,1.0,24.1577,faq/cards/smite#death-replacement-effects,O Guardian Angel salva minha unidade do Smite?
bm25,q06,carta,formal,True,1.0,35.5032,faq/cards/irelia-fervent#awaken-phase-readying,"A Irelia, Fervent ganha +1 de might quando é preparada na Awaken Phase?"
bm25,q07,carta,termo_em_portugues,True,1.0,24.3839,faq/cards/endless-riches#draw-phase-duration,Por quanto tempo o Endless Riches me faz pular a fase de compra?
bm25,q08,carta,termo_em_portugues,True,1.0,22.7943,faq/cards/vex-apathetic#stun-targeting,"Quando a Vex, Apathetic atordoa a unidade que acabou de ser jogada, isso conta como escolher alvo?"
bm25,q09,carta,formal,True,3.0,20.0083,faq/cards/baron-nashor#baron-pit-showdown,Preciso ter pontuado o Baron Pit pra ganhar a partida conquistando um battlefield?
bm25,q10,carta,termo_em_portugues,True,1.0,24.2645,faq/cards/consuming-curse#self-count,"Quando jogo a Consuming Curse do descarte, ela conta ela mesma pro dano extra?"
bm25,q11,carta,formal,True,1.0,18.9359,faq/cards/temporal-breach#token-unit,O que acontece se o Temporal Breach banir um token?
bm25,q12,regra_geral,informal,True,,2.6801,crd/1.4/355.10,"Se counterarem minha carta, eu recebo a mana de volta?"
bm25,q13,regra_geral,formal,True,,11.3036,faq/general-rules/playing-cards#play-definition,"Se eu matar a unidade depois que a habilidade desencadeada dela foi pro chain, a habilidade ainda resolve?"
bm25,q14,regra_geral,informal,True,,8.1761,crd/1.4/134,Quando o showdown acaba? Se a unidade morrer ele termina?
bm25,q15,regra_geral,informal,True,,5.7173,crd/1.4/134,Dá pra responder quando o oponente baixa uma unidade?
bm25,q16,regra_geral,formal,True,,4.4423,crd/1.4/190.4,Jogar uma unidade direto num battlefield conta como mover a unidade pra lá?
bm25,q17,regra_geral,formal,True,6.0,7.6371,crd/1.4/347,"Fora de um showdown, eu perco o controle do battlefield assim que minha última unidade sai dele?"
bm25,q18,mecanica,informal,True,1.0,12.3762,faq/cards/baited-hook#deathknell-order,O Deathknell resolve antes ou depois da carta que matou a unidade?
bm25,q19,mecanica,termo_em_portugues,True,1.0,9.8757,crd/1.4/829,Pra onde vai um feitiço jogado com Flow se ele for anulado?
bm25,q20,mecanica,termo_em_portugues,True,,3.7815,crd/1.4/204,Posso usar Emboscada pra jogar uma unidade na minha base?
bm25,q21,mecanica,termo_em_portugues,True,,13.8934,crd/1.4/134,O que acontece com o equipamento quando a unidade equipada morre?
bm25,q22,so_crd,formal,True,,9.2656,crd/1.4/427.5,Quantas cartas precisa ter o deck principal e quantas cópias da mesma carta posso colocar?
bm25,q23,so_crd,informal,True,,0.0,faq/cards/abandoned-hall#countered-spell,Quantos pontos preciso pra ganhar?
bm25,q24,so_crd,informal,True,2.0,5.7173,crd/1.4/134,Como funciona o mulligan no começo da partida?
bm25,q25,fora_do_escopo,informal,False,,5.7173,crd/1.4/134,Qual é o melhor deck do meta agora?
bm25,q26,fora_do_escopo,informal,False,,6.2814,crd/1.4/198,Quanto custa uma caixa de booster de Origins?
bm25,q27,fora_do_escopo,formal,False,,8.1761,crd/1.4/134,"O que faz a carta Singed, Alquimista Louco?"
bm25,q28,fora_do_escopo,formal,False,,11.0227,crd/1.4/440,"No Magic: The Gathering, como funciona o mana burn?"
e5-small,q01,carta,formal,True,1.0,0.8647,faq/cards/flash#target-in-base,O Flash pode ter como alvo uma unidade que já está na base?
e5-small,q02,carta,termo_em_portugues,True,1.0,0.8668,faq/cards/lacerate#targeting-restriction,Posso usar o Lacerate numa unidade com mais de 3 de força?
e5-small,q03,carta,formal,True,1.0,0.8935,faq/cards/switcheroo#negative-might,O Switcheroo pode deixar uma unidade com might negativa?
e5-small,q04,carta,informal,True,1.0,0.864,faq/cards/sacrifice#countered-additional-cost,"Se o oponente counterar meu Sacrifice, a unidade que eu matei pra pagar volta?"
e5-small,q05,carta,informal,True,1.0,0.8693,faq/cards/smite#death-replacement-effects,O Guardian Angel salva minha unidade do Smite?
e5-small,q06,carta,formal,True,1.0,0.8805,faq/cards/irelia-fervent#awaken-phase-readying,"A Irelia, Fervent ganha +1 de might quando é preparada na Awaken Phase?"
e5-small,q07,carta,termo_em_portugues,True,1.0,0.8507,faq/cards/endless-riches#draw-phase-duration,Por quanto tempo o Endless Riches me faz pular a fase de compra?
e5-small,q08,carta,termo_em_portugues,True,1.0,0.8597,faq/cards/vex-apathetic#stun-targeting,"Quando a Vex, Apathetic atordoa a unidade que acabou de ser jogada, isso conta como escolher alvo?"
e5-small,q09,carta,formal,True,1.0,0.8779,faq/cards/baron-nashor#baron-pit-victory,Preciso ter pontuado o Baron Pit pra ganhar a partida conquistando um battlefield?
e5-small,q10,carta,termo_em_portugues,True,1.0,0.8364,faq/cards/consuming-curse#self-count,"Quando jogo a Consuming Curse do descarte, ela conta ela mesma pro dano extra?"
e5-small,q11,carta,formal,True,1.0,0.9028,faq/cards/temporal-breach#token-unit,O que acontece se o Temporal Breach banir um token?
e5-small,q12,regra_geral,informal,True,3.0,0.8223,faq/mechanics/empower#removed-source-trigger,"Se counterarem minha carta, eu recebo a mana de volta?"
e5-small,q13,regra_geral,formal,True,4.0,0.8305,faq/cards/baited-hook#illegal-target,"Se eu matar a unidade depois que a habilidade desencadeada dela foi pro chain, a habilidade ainda resolve?"
e5-small,q14,regra_geral,informal,True,1.0,0.8448,faq/general-rules/showdowns#showdown-close,Quando o showdown acaba? Se a unidade morrer ele termina?
e5-small,q15,regra_geral,informal,True,3.0,0.8267,faq/cards/emperors-dais#ability-finalization-cost,Dá pra responder quando o oponente baixa uma unidade?
e5-small,q16,regra_geral,formal,True,1.0,0.8531,faq/general-rules/movement#entering-board,Jogar uma unidade direto num battlefield conta como mover a unidade pra lá?
e5-small,q17,regra_geral,formal,True,1.0,0.8652,faq/general-rules/chain-and-priority#empty-battlefield-control,"Fora de um showdown, eu perco o controle do battlefield assim que minha última unidade sai dele?"
e5-small,q18,mecanica,informal,True,1.0,0.8571,faq/mechanics/deathknell#killing-card-timing,O Deathknell resolve antes ou depois da carta que matou a unidade?
e5-small,q19,mecanica,termo_em_portugues,True,1.0,0.8466,faq/mechanics/flow#countered-destination,Pra onde vai um feitiço jogado com Flow se ele for anulado?
e5-small,q20,mecanica,termo_em_portugues,True,1.0,0.844,faq/mechanics/ambush#ambush-base,Posso usar Emboscada pra jogar uma unidade na minha base?
e5-small,q21,mecanica,termo_em_portugues,True,1.0,0.8513,faq/mechanics/equipment#equipment-after-death,O que acontece com o equipamento quando a unidade equipada morre?
e5-small,q22,so_crd,formal,True,1.0,0.8354,crd/1.4/103.2.b,Quantas cartas precisa ter o deck principal e quantas cópias da mesma carta posso colocar?
e5-small,q23,so_crd,informal,True,1.0,0.8259,crd/1.4/194,Quantos pontos preciso pra ganhar?
e5-small,q24,so_crd,informal,True,1.0,0.8367,crd/1.4/115,Como funciona o mulligan no começo da partida?
