id;pergunta;resposta_esperada;resposta_do_juiz;sua_nota (correta/parcial/incorreta);comentario
q11;O que acontece se o Temporal Breach banir um token?;O token deixa de existir ao ir para o banimento, então o dono não pode jogá-lo de novo. Tokens só existem no tabuleiro ou no chain.;"O token deixa de existir e não pode ser jogado novamente [F1].

Os tokens (objetos de jogo criados por magias e habilidades durante a partida) só podem existir no Board (o tabuleiro) ou na Chain (a fila onde cartas e habilidades esperam para fazer efeito) [180, 186, 328]. Quando o Temporal Breach bane o token, ele vai para a Banishment (uma zona fora do tabuleiro) [F1, CRD 056.1]. Como os tokens somem imediatamente ao entrar em qualquer outra zona, ele desaparece de vez e o dono não consegue trazê-lo de volta para o jogo [F1, CRD 186.1].";correta;
q24;Como funciona o mulligan no começo da partida?;Cada jogador compra 4 cartas. Depois, em ordem de turno, cada um pode separar até 2 cartas da mão, compra a mesma quantidade e então recicla (Recycle) as cartas separadas.;"**Em resumo:**
O mulligan é a hora no começo da partida em que você pode trocar até duas cartas da sua mão para buscar cartas melhores [F1].

**Passo a passo:**
1. Cada jogador compra 4 cartas para formar sua mão inicial [F1].
2. Seguindo a ordem dos turnos, cada jogador escolhe até duas cartas da mão e as coloca de lado [F1, F1.7.1].
3. O jogador compra o mesmo número de cartas que colocou de lado [F1.7.2].
4. Por fim, o jogador faz o Recycle (colocar cartas no fundo do deck correspondente) das cartas que havia separado [F1.7.3, F416.1].

**Exemplo:**
Na sua mão inicial de 4 cartas, você decide que não gostou de duas delas. Você separa essas duas cartas, compra mais duas do seu Main Deck (o deck principal de cartas do jogo) e, no final, coloca as duas cartas separadas de volta no fundo do seu Main Deck [F1.7].

**Termos que apareceram:**
- Main Deck: o deck principal de cartas do jogo.
- Recycle: colocar cartas no fundo do deck correspondente [F416.1].";correta;
q15;Dá pra responder quando o oponente baixa uma unidade?;Não antes de ela entrar no tabuleiro: ao ser finalizada, a unidade resolve imediatamente, sem passar prioridade. Você pode reagir depois, às habilidades dela que forem para o chain (como o efeito de play), mas a unidade já estará em jogo.;"Sim. Você pode responder quando o oponente joga uma unidade, desde que tenha uma carta ou habilidade com a palavra-chave Reaction (um efeito que pode ser jogado em resposta a outras ações) para usar [F5].

Quando o oponente inicia a jogada de uma unidade, ela entra na Chain (a fila onde cartas e habilidades esperam para fazer efeito) como um item pendente [F5]. Depois que a jogada é finalizada, a unidade entra no tabuleiro imediatamente [F3], mas cartas e habilidades com Reaction podem ser jogadas antes que outros efeitos aconteçam, dependendo do momento da rodada.";parcial;
q34;se eu jogo uma spell, meu oponente passa, eu tenho que passar tambem pra resolver a chain?;"Não precisa passar de novo. Depois que a sua spell é finalizada, é você quem recebe a prioridade primeiro; quando você passa, a prioridade vai para o oponente. Se ele também passa, todos passaram em sequência sem acrescentar nada, e o item mais novo da Chain (a sua spell) resolve.";"Depende. A resolução da Chain (a fila onde cartas e habilidades esperam para fazer efeito) [Glossário] acontece automaticamente quando ninguém mais joga nada, e não porque os dois passaram juntos.

Quando você joga uma Spell, ela entra na Chain [F2]. O oponente tem a oportunidade de jogar Reactions (respostas que podem ser jogadas a qualquer momento) [Glossário, F2]. Se ele passa a vez sem jogar nada e não há mais itens pendentes, a carta mais nova da Chain resolve sozinha, executando seus efeitos do topo para a base [F4]. Você não precisa passar a vez para a magia acontecer; o jogo avança sozinho assim que o oponente decide não responder.";parcial;
q05;O Guardian Angel salva minha unidade do Smite?;"Depende da ordem, que é escolhida pelo controlador da unidade (os dois são efeitos de substituição da mesma morte). Se aplicar o Guardian Angel primeiro, a unidade não morre (é curada, exaurida e volta para a base) e o Smite fica sem o que substituir. Se aplicar o Smite primeiro, a unidade é banida; banir não é matar, então o Guardian Angel não se aplica.";"Sim, o Guardian Angel pode salvar a sua unidade do Smite [F1].

Como os dois efeitos querem substituir o mesmo evento de morte, você (o controlador da unidade afetada) escolhe a ordem em que eles são aplicados [F1, CRD 372]. Se você aplicar o efeito do Guardian Angel primeiro, o Gear morre no lugar da Unit, e a sua unidade é curada, fica Exhaust (gasta) e sofre um Recall (enviada para a Base) [F1, F6]. Como o evento de morte já foi alterado, o Smite perde o efeito e a unidade se salva [F1]. Porém, se você optar por aplicar o Smite primeiro, a unidade é enviada direto para o Banishment e o equipamento não pode mais salvá-la [F1].

Por exemplo, quando a sua Unit com o Gear Guardian Angel sofrer o dano fatal do Spell Smite, basta escolher resolver o Guardian Angel primeiro para mandá-lo para o Trash e garantir que a sua unidade volte em segurança para a Base.";correta;
q13;Se eu matar a unidade depois que a habilidade desencadeada dela foi pro chain, a habilidade ainda resolve?;"Sim. Remover a fonte não é anular, então a habilidade continua no chain e resolve. Mas instruções que precisam da localização atual da fonte (como ""here"") podem não fazer nada, porque essa informação não existe mais.";"Sim. A habilidade ainda vai resolver, mas o efeito de matar a unidade pode não acontecer se ela já não for um alvo legal [F1].

O porquê disso é que, quando uma habilidade vai para a Chain (a fila onde cartas e habilidades esperam para fazer efeito), ela continua lá mesmo que a unidade que a originou sofra alguma alteração ou saia de jogo [F1, F4]. No entanto, se essa unidade deixa de ser um alvo válido na hora em que a habilidade vai resolver (por exemplo, se foi removida antes), a instrução de matá-la é ignorada, mas o resto da habilidade ainda acontece [F1].";correta;
q19;Pra onde vai um feitiço jogado com Flow se ele for anulado?;Ele é banido em vez de ir para o trash, a menos que outro efeito de substituição mude isso. Jogar com Flow cria um efeito que bane o spell se ele sair do chain depois de finalizado (sem ser por instrução dele mesmo), e ser anulado se encaixa nisso.;"Sim. Ele é banido (Banish: colocar uma carta na zona de Banishment, que não é o Trash) [F1].

Quando um Spell jogado com a palavra-chave Flow é anulado (Counter: carta ou habilidade que não faz nada e é limpa da chain), ele iria normalmente para o Trash [F1]. No entanto, a habilidade Flow cria um efeito de substituição atrasado que envia a carta para o Banishment se ela deixar a Chain (a fila onde cartas e habilidades esperam para fazer efeito) após ser finalizada [F1, F4].

**Exemplo:** Você joga um Spell do seu Trash usando Flow e seu oponente o anula na Chain. Em vez de ir para o Trash, a carta vai direto para o Banishment por causa da regra do Flow [F1].";correta;
q27;O que faz a carta Singed, Alquimista Louco?;Deve dizer que não encontrou essa carta, sem inventar o texto dela.;Não encontrei a resposta nas regras que eu consultei. Você pode chamar um juiz do evento ou conferir o Core Rules oficial para tirar essa dúvida sobre essa carta.;correta;
q20;Posso usar Emboscada pra jogar uma unidade na minha base?;Não. O Ambush só vale para jogar a unidade num battlefield onde você controla unidades (e dá Reaction a ela nesse caso). Na base, a unidade só pode ser jogada no timing normal.;"Sim. Você pode jogar a unidade na sua base, mas apenas seguindo as regras normais de tempo para jogar unidades [F1].

O [Ambush] (palavra-chave que permite jogar a unidade com permissão de Reaction) serve apenas para colocar a unidade em um Battlefield (campo de batalha) onde você já controla unidades [F1]. Para jogar a unidade na sua base, você usa a permissão padrão de jogo de unidade, mas respeitando o tempo normal [F1] (CRD 355.2.a).";correta;
q44;Como eu monto um deck bom de Jinx?;Deve dizer que não encontrou: estratégia e montagem de deck competitivo não estão nas regras (só as regras de construção, como o mínimo de 40 cartas).;"Depende da estratégia, mas montar um deck com a Jinx exige seguir as regras básicas de construção de baralho [F1]. 

Para começar, sua Main Deck (o baralho principal) precisa ter pelo menos 40 cartas e incluir uma Chosen Champion (a carta de Campeão escolhida para começar no jogo) com a tag Jinx, como Jinx, Rebel ou Jinx, Demolitionist [F1]. O seu Rune Deck (o baralho de runas) precisa ter exatamente 12 Runes (runas) [F4]. Como as cartas da Jinx envolvem descarte, você pode escolher cartas que funcionem bem com essa mecânica agressiva [F6, F7]. Além disso, lembre-se de separar os Battlefields (campos de batalha) exigidos para jogar [F1].";correta;
