pagina,codigo,usd,liga_menor,liga_medio,liga_maior
Cloud Drake (48),VEN-48,0.04,0.17,0.5,1.94
Bushwhack (4),SFD-4,0.06,0.07,0.47,1.94
Evershade Stalker (123),UNL-123,0.07,0.15,0.54,1.94
Minefield (212),SFD-212,0.09,0.12,0.73,3.9
Platewyrm Egg (75),VEN-75,0.09,0.17,0.51,1.94
Shepherd's Heirloom (158),UNL-158,0.09,0.15,0.53,1.94
Battering Ram (12),SFD-12,0.14,0.11,0.87,4.04
Solari Chief (225),OGN-225,0.14,0.15,0.84,2.34
Jax - Grandmaster At Arms (193),SFD-193,0.15,0.19,1.81,3.94
Jinx - Loose Cannon (251),OGN-251,0.23,4.0,4.33,4.99
Traveling Merchant (185),OGN-185,0.24,0.4,1.36,4.5
Bone Skewer (139),UNL-139,0.28,6.5,7.75,9.0
Carnivorous Snapvine (149),OGN-149,0.31,9.0,9.23,9.9
Brutalizer (42),SFD-42,0.34,0.3,1.45,3.68
Steel Paws (43),VEN-43,0.35,0.59,0.82,1.0
Deathgrip (163),SFD-163,0.4,0.5,2.46,5.0
Cull the Weak (209),OGN-209,0.48,0.4,3.22,4.8
Bullet Time (268),OGN-268,2.57,34.9,34.9,34.9
Showstopper (270),OGN-270,4.71,65.0,65.0,65.0
Seal of Rage (40),OGN-40,11.3,110.0,130.12,175.0
Seal of Focus (81),OGN-81,17.77,164.9,164.9,164.9
Defiant Dance (196),SFD-196,18.41,165.0,165.0,165.0
Astral Heron (44),VEN-44,38.77,229.9,242.45,254.99
